@relation arousal

@attribute class {-1,1}
@attribute user numeric
@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute Theta_33 numeric
@attribute Alpha_33 numeric
@attribute LowBeta_33 numeric
@attribute HighBeta_33 numeric
@attribute Gamma_33 numeric
@attribute Theta_34 numeric
@attribute Alpha_34 numeric
@attribute LowBeta_34 numeric
@attribute HighBeta_34 numeric
@attribute Gamma_34 numeric
@attribute Theta_35 numeric
@attribute Alpha_35 numeric
@attribute LowBeta_35 numeric
@attribute HighBeta_35 numeric
@attribute Gamma_35 numeric
@attribute Theta_36 numeric
@attribute Alpha_36 numeric
@attribute LowBeta_36 numeric
@attribute HighBeta_36 numeric
@attribute Gamma_36 numeric
@attribute Theta_37 numeric
@attribute Alpha_37 numeric
@attribute LowBeta_37 numeric
@attribute HighBeta_37 numeric
@attribute Gamma_37 numeric
@attribute Theta_38 numeric
@attribute Alpha_38 numeric
@attribute LowBeta_38 numeric
@attribute HighBeta_38 numeric
@attribute Gamma_38 numeric
@attribute Theta_39 numeric
@attribute Alpha_39 numeric
@attribute LowBeta_39 numeric
@attribute HighBeta_39 numeric
@attribute Gamma_39 numeric
@attribute Theta_40 numeric
@attribute Alpha_40 numeric
@attribute LowBeta_40 numeric
@attribute HighBeta_40 numeric
@attribute Gamma_40 numeric

@data
-1,27,999.78,772.47,550.51,322.57,255.89,1067.6,782.89,733.16,464.47,318.71,1070.8,757.92,575.5,389.4,317.91,790.83,508.62,504.11,376.93,307.6,1550.9,672.65,493,431.18,347.76,855.63,587.21,547.06,369.13,226.02,971.24,512.19,439.46,321.85,255.62,962.45,489.53,439.58,307.73,261.8,708.34,610.05,435.81,269.91,180.57,1213.3,583.79,457.91,336.93,262.2,1098.3,686.42,510.52,303.52,206.84,1029.1,775.94,506.54,326.41,255.91,712.94,735.16,404.68,234.45,154.33,1097.2,866.78,550.1,311.73,236.32,766.45,814.15,451.25,247.19,177.11,680.22,420.83,383.67,269,171.32,1374,849.53,568.13,353.09,271.43,848.92,697.58,577.75,379.96,248.26,767.63,574.72,565.57,362.34,240.31,517.11,498.48,440.36,319.91,234.99,1445.1,1001.6,768.72,594.22,434.59,949.44,619.95,594.69,511.52,434.72,810.19,640.57,610.1,407.81,262.44,1007.7,785.5,678.54,421.29,263.38,909.59,670.31,575.18,382.61,295.31,1025.4,739.4,616.69,428.59,343.42,958.52,759.88,622.7,369.57,266.08,537.32,450.75,394.83,264.9,167.44,1015.3,708.03,519.5,326.4,229.71,507.5,555.86,406.2,248.35,175.52,1133.2,815,540.39,356.25,269.54,1392.9,819.12,639.86,435.83,351.61,998.26,666.1,510.72,310.73,226.48,1802.1,762.66,487.15,379.32,321.24,1032,579.44,352.05,267.02,208.53,878.6,673.11,388.29,162,135.92,1184.6,800.07,681.52,429.64,312.37,1471.9,986.36,768.29,488.29,376.05,1590.5,1018.6,770.66,538.49,387.01,5583.6,3905.1,2212.3,894.94,636.35
-1,27,1595.4,900.13,621.65,470.69,427.24,1498.6,798.33,741.46,541.74,381.35,1560,802.67,617.88,435.04,394.89,2124,644.07,521.38,416.08,392.4,3998.1,1113,603.54,543.75,589.1,1563.9,613.56,553.49,389.88,279.09,2509.6,753.01,490.85,380.61,399.35,1852.8,616.81,475.02,346,353.5,1007.8,516.7,419.25,264.47,183.43,3290.8,888.73,541.49,451.21,477.29,1877.8,787.14,507.43,354.81,328.37,1548.2,668.12,531.5,376.63,320.58,704.43,552.97,384.44,233.73,158.32,1849.5,788.15,545.29,335.35,302.31,689.64,615.49,418.35,255.54,190.54,1264.9,489.14,383.32,268.37,215.51,2923,1079.3,645.23,498.16,480.39,1303.8,670.02,583.63,375.53,273.27,1230.4,556.21,569.22,373.06,250.47,772.08,461.08,479.81,337.77,249.41,1942.9,1115.3,874.7,802.98,599.82,2165.5,731.06,601.04,536.64,444.78,1163.7,586.69,617.51,405.25,264.94,1028,756.11,682.28,465.86,321.01,1178.1,671.58,598.5,430.07,337.96,2172.6,847.39,679.74,548.69,439.61,1498.7,809.51,651.3,471.88,378.78,752.38,415.81,415.92,276.54,198.09,1059.6,735.39,566.64,378.84,312.74,831.1,545.6,399.43,288.26,232.57,2509.7,885.79,528.17,408.48,384.3,3397.2,1002.9,692.63,547.67,548.49,1135.8,717.53,546.08,372.31,304.73,3881.7,1206.5,667.06,572.48,556.18,2497.5,1275.5,754.15,567.57,454.52,2586.7,1348.8,802.22,546.41,435.96,1782.4,983.52,803.05,542.25,400.4,1226.3,819.74,737.36,446.04,341.61,3420.1,1769.4,1184.9,842.02,657.94,7328.2,4448.8,2568.8,1398.9,1067.1
1,27,1108,770.76,594.97,444.07,381.19,1169.8,752.23,758.14,501.48,366.51,1313.5,772.59,613.28,505.51,415.94,1488.2,564.24,516.05,381.78,333.42,3012.7,925.92,690.35,600.37,594.02,1233.5,473.25,525.22,345.48,251.63,1857.4,567.44,459.82,370.24,339.91,1590.6,541.65,456.35,365.24,309.29,932.6,474.68,388.07,262.03,172.74,2418.9,698.1,538.06,442.66,431.5,1507.1,666.01,508.1,362.83,308.19,1385.7,507.55,503.67,379.16,306.62,641.09,477.35,357.47,211.6,142.14,1603.6,708.06,506.03,317.85,257.86,730.79,550.36,396.5,246.31,171.42,1108.2,410.61,370.21,253.43,203.52,2043.7,959.06,710.41,537,492.46,1195.1,626.19,562.35,363.47,232.78,1033,438.86,546.57,326.35,220.45,567.71,424.69,450.54,317.85,234.41,1632,1036.8,839.58,620.16,536.21,1712.2,663.77,592.16,493.09,427.75,991.9,493.12,547.34,370.37,250.45,1000.9,663.1,594.74,442.83,300.14,1016.4,635.65,542.41,422.76,313.84,1638.9,793.53,675.01,507.9,462.5,1191.6,751.87,626.67,441.61,357.99,687.43,379.82,351.67,263.82,182.79,1040.7,674.76,521.52,397.42,299.88,724.96,336.55,339.89,225.12,170.7,2044.7,622.11,523.11,387.01,346.09,2696.9,835.45,650.81,511.14,459.78,1462.3,875.55,609.76,444.24,339.52,6152.6,3003.7,1773,1349.2,1105.7,1597.1,842.01,521.49,422.09,344.72,1649.4,925.13,520.45,295.09,233.68,736.7,510.89,552.04,374.43,261.54,947.81,660.88,640.37,521.35,401.85,2080.8,1153.5,834.98,669.96,530.88,7906.8,4867.9,2718.6,1589.2,1239.1
1,27,1370.7,1122.1,862.97,906.31,1046.9,1382,1007.1,1030.8,832.22,857.02,1749.6,1604,2255.4,1878.8,1687.9,1621.6,1234.7,1523.2,965.38,1202.3,3007.6,1191.9,1110.4,1187.3,1413.9,1256.5,615.64,676.26,582.14,561.47,1820.8,826.72,796.87,800.8,805.38,1622.8,794.55,797.27,739.21,863.78,914.09,509.89,466.12,334.59,267.67,2265.9,783.2,616.74,655.84,643.57,1556,791.44,635.1,551.31,702.23,1467.7,760.04,768.09,616.25,705.44,772.33,507.88,412.04,248.24,276.52,1562.8,735.14,587.86,432.04,388.45,991.48,642.12,526.05,348.16,409.84,1092.6,475.3,458.28,352.8,431.98,2010,1136.5,853.96,724.75,1045.9,1225.1,717.2,715.04,523.13,561.14,1063.3,531.68,612.82,485.91,417.58,746.06,615.01,656.96,608.96,647.57,1810.4,1526.6,1026.6,1137.1,1033.9,1759,1024.9,1054.3,1051.5,1096.2,1080.4,690.14,706.25,655.35,536.46,1227.4,950.47,870.56,827.05,822.78,1272.1,1252.1,1075.7,1215.6,1081.3,1615.7,1288.6,1127.6,1306.6,1231.1,1244.8,866.47,813.71,784.41,729.3,773.8,654.77,549.64,635.48,568.96,1208.9,1007.2,917.25,851.83,916.13,761.75,390.5,438.14,329.77,291.14,1947.4,667.49,555.78,509.46,482.52,2493.4,865.42,750.1,688.37,587.85,1412.4,964.66,892.08,715.26,832.83,3182.5,1202.3,764.24,702.8,747.15,2083.5,1109.4,724.61,673.25,587.14,1415.1,879.55,515.59,284.64,229.08,3373.4,1806.2,1357.4,968.1,861.72,4415.7,2308.4,1491.1,1117.3,934.01,2624.2,1537.8,1166.3,1052.5,902.26,4842.1,3670,2069.3,831.87,646.64
-1,27,1151.8,791,662.81,478.02,496.62,1074.4,762.85,822.02,662.59,576.77,1133.2,762.59,720.81,623.81,559.47,1135.6,548.91,543.81,466.11,391.01,2189,768.82,584.86,567.64,509.64,1049.8,530.56,570.81,396.8,320.94,1413.7,548.94,482.72,397.31,332.49,1264.5,538.48,557.94,440.12,434.01,711.89,476.54,417.92,264.76,175.47,1784.5,646.95,521.02,430.41,388.03,1298.5,691.92,547.11,402.07,376.75,1212.3,672.12,636.51,474.85,452.14,692.24,591.26,389.7,230.04,174.8,1331.6,802.85,549.44,345.4,287.28,745.12,665.15,419.93,261.7,214.91,888.92,435.24,412.44,285.21,219.31,1785.4,905.63,699.66,533.79,551.8,958.22,622.72,570.28,442.91,331.57,907.23,504.71,581.67,391.99,309.27,589.27,455.81,443.55,368.47,284.93,1577.4,1006.9,909.51,818.41,683.98,1261.3,671.7,616.9,651.98,563.35,900.13,566.18,639.47,459.76,374.52,1048.9,746.37,763.6,576.62,504.67,942.34,683.17,694.43,597.08,569.49,1252.4,734.12,663.84,568.74,512.62,1026.8,723.52,660.07,498.29,432.04,566.3,417.01,444.88,344.37,287.36,1066.3,728.44,654.43,525.96,498.14,583.24,417.69,384.41,270.8,193.7,1541.3,705.8,519.04,404.08,325.63,1947,784.51,613.87,509.1,412.22,1097.3,695.46,637.04,513.4,479.49,1968.7,624.86,443.6,407.31,406.9,1349.2,730.4,480.69,435.46,378.11,1065.3,790.58,446.57,172.37,130.07,3790.7,1962.8,1289.9,934.39,736.85,4075.4,2133.7,1415.5,1055.3,879,5313.3,2744.8,1775.7,1316.3,1109.5,4723,3736.2,2015.4,622.24,361.57
-1,27,974.84,729.16,562.49,375.74,316.35,1135.9,743.8,722.47,504.17,374.27,1003.6,735.59,650.14,520.77,465.84,900.16,517.9,518.54,393.79,321.46,1614.9,706.73,549.64,488.16,460.91,809.04,499.32,528.88,391.21,262.12,998.24,487.48,473.36,365.73,305.13,937.23,476.18,436.6,366.99,294.41,719.98,519.28,418.94,298.15,193.01,1261.6,540.45,481.39,385.94,314.95,1061.5,629.8,512.8,349.26,266.89,912.88,591.86,513.5,396.03,294.1,668.38,575.89,373.23,258.37,166.87,1026.4,716.23,510.37,366.08,252.72,751.52,641.09,432.59,297.49,202.87,688.95,410.54,381.37,281.61,185.84,1352.4,817.62,600.14,421.47,354.82,823.37,587.64,558.17,408.69,261.03,718.46,474.71,526.62,396.58,245.91,483.25,412.29,400.28,311.68,189.69,1345.1,922.41,752.9,552.07,422.17,1009,537.76,525.72,445.19,356.93,800.31,547.7,584.52,419.83,273.03,973.38,710.48,668.48,449.88,311.63,879.25,624.69,587.23,418.83,332.12,1127.3,682.96,605.66,427.59,342.73,1017.4,711.23,612.8,391.71,299.73,551.39,399.26,409,279.16,192.95,924.76,646.27,554.74,378.37,302.99,470.51,396.94,397.58,275.27,205.32,1103.5,586.12,515.62,406.61,298.24,1372.4,677.01,618.75,506.77,393.09,978.18,644.02,532.51,347.43,288.09,4780.5,2382.4,1404.2,1051.5,857.57,1176.9,706.98,442.83,364.05,278.16,1050.9,719.38,400.71,176.57,139.53,909.16,618.32,622.13,407.84,311.32,1205.1,819.53,734.44,540.82,461.35,1346.2,913.73,781.26,593.22,483.52,4928.2,3752.7,2038.2,722,386.59
-1,27,1056.4,749.31,542.78,340.63,328.64,1179.1,738.78,697.41,466.63,361.19,1136,730.11,567.4,351.97,324.54,1026.5,469.08,464.91,378.57,275.03,1903.1,683.15,493.71,404.99,369.14,898.53,444.04,498.27,361.87,237.99,1211.2,461.15,397.26,291.87,242.84,1115.3,462.65,413.09,304.55,263.36,754.73,467.43,403.64,276.53,185.94,1545.1,520.34,436.44,350.11,289.84,1261.1,670.56,500.86,333.54,285.34,1074.8,490.75,487.26,334.1,297.55,675.42,500.4,369.67,221.71,151.54,1143.2,645.37,511.46,301.72,261.34,810.52,557.72,438.77,270.09,211.17,798.19,373.87,367.61,260.76,187.28,1544.6,858.78,589.62,393.11,367.97,948.57,555.13,555.55,358.95,232.56,808.9,411.46,515.03,348.52,227.88,549.55,391.03,378.61,267.77,153.96,1574.7,971.97,689.18,439.25,385.11,1103.8,520.12,473.59,341.51,251.49,889.2,505.4,559.69,393.24,259.48,1068.8,693.8,630.87,447,325.17,1013.8,635.4,545.23,358.97,310.12,1185.8,677.44,553.79,370.16,284.71,1071.7,713.11,581.89,363.96,280.79,600.82,379.16,368.87,263.44,186.18,1081.6,686.93,521.81,334.59,309.41,557.23,321.65,351.75,255.99,188.83,1332.1,500.98,494.73,384.34,305.82,1686.2,614.37,571.39,433.49,366.94,1320.4,767.72,558.67,355.5,314.29,1686.7,549.51,378.12,319.69,313.67,2210.7,1166.5,705.54,541.64,424.27,986.92,719.08,413.61,159.58,129.28,1607.9,861.14,702.17,501.77,387.1,1218.3,800.42,691.14,476.96,393.21,3137.7,1678.8,1107,816.36,651.82,4702.9,3753.1,2125.2,639.21,349.73
1,27,1216.1,821.04,643.55,484.6,464.72,1232.5,840.05,793.7,559.45,498.86,1371.5,845.96,635.81,472.93,466.56,1448,634.2,504.74,430.22,345.33,2856.3,1008.8,575.72,521.36,443.1,1234.2,525.27,545.81,403.5,280.36,1755.3,635.36,439.12,360.45,291.09,1609.3,634.08,498.83,405.96,368.6,903.52,490.64,419.03,269.81,184.37,2279.3,809.51,508.57,441.17,357.67,1519.2,747.14,549.68,424.56,380.34,1476.6,643.78,579.16,438.27,405.02,692.13,495.56,379.82,228.34,165.61,1557,785.67,555.76,364.46,297.2,890.52,606.06,445,298.52,249.77,1110.3,458.27,379.6,273.51,213.84,2023.4,990.68,700.78,562.4,520.5,1183.9,672.23,584.03,383.4,293.29,1077.5,483.74,557.99,376,263.97,618.17,425.97,417.56,298.06,197.24,1789.6,1074.9,798.74,576.63,549.94,1549.7,693.85,505.16,409.36,306.48,1060.1,545.97,597.28,439.21,318.98,1172.5,772.03,697.03,540.57,455.67,1121.9,725.31,622.9,464.65,452.58,1497.2,824.44,599.7,462.04,403.74,1143.7,805.68,629.19,435.55,393.32,696.06,418.96,387.07,288.02,243.28,1201.2,760.9,611.74,461.22,458.03,707.93,376.05,361.76,265.41,207.45,1949,749.09,533.84,426.96,348.35,2540,962.2,633.33,500.67,411.25,3894.6,2049.4,1258.4,938.87,789.62,2578.8,887.85,471.07,432.71,389.78,1421.7,698.04,426.9,319.59,294.48,1806.1,1033.8,603.48,369.72,299.1,2875.2,1501.2,993.43,708.13,581.65,2232.5,1247.5,965.1,799.51,783.4,2216.9,1217.2,913.75,739.89,733.64,8092.9,4930.3,2811.6,1625.9,1230.8
-1,27,1934.7,1072.8,947.09,1012.7,974.75,1888,1108.8,991.03,1020.4,983.86,2216.5,1870.6,1945.3,2224.2,2082.6,2588.7,1320.5,1227.5,1622.9,1427.9,4830.9,1492.2,1169.9,1366.6,1435.4,1952,713.16,642.07,631.05,627.81,2947.6,1058.2,932.38,1045.1,1031,2596,1038.2,1013,1069.1,1132.3,1244.7,660.68,605,494.09,458.25,3793.7,1107,773.8,919.9,884.33,2344.1,893.16,730.64,701.5,794.29,2347.1,886.98,763.19,892.64,760.93,793.44,537.12,401.06,306.26,283.87,2283.9,860.03,623.8,534.94,496.9,890.01,651.29,521.46,457.47,402.54,1681.2,604.37,466.97,531.88,418.62,3314.9,1230.9,928.29,959.94,998.23,1564.2,808.28,755.8,708.41,627.93,1623,629.94,597.97,553.25,502.09,901.11,564.31,626.95,546.48,549.29,2567.9,1414.7,1159.2,1120,1162.7,2543,1090.8,919.11,1053.6,1086.3,1620.9,725.56,705.08,697.41,654.95,1588.8,971.1,898.45,915.01,945.19,1705.8,1220.6,1094.5,1162.3,1260.9,2354.9,1138.4,1137.2,1017.1,1348.1,1575.2,940.59,838.04,792.75,831.95,1006.2,648.67,608.71,563.73,673.27,1742.7,1058.8,928.19,1025.1,1035,1038,511.63,456.9,428.81,342.3,3098.4,941.97,634.55,693.39,599.37,4091.1,1226.3,869.56,951.4,828.66,8947,4546.8,2747.8,2150.2,1774.7,23575,11730,6986.2,5240.2,4152.2,1617.3,867.28,550.75,440.73,494,5038.3,1888.3,1112.9,790.75,631.05,2006.5,1137.4,1063.5,1101.9,852.85,1701.5,1077.3,1028.4,993.7,931.8,2901,1622.1,1248.6,1165.5,1180.3,4528.1,3590.1,2074.1,853.47,667.69
-1,27,1035.6,731.84,527.27,298.91,227.18,1124.7,709.42,713.54,434.27,280.8,1165.4,686.17,518.72,305.86,225.85,786.19,452.66,481.21,344.83,236.27,1198,604.1,517.39,400.7,328,669.87,408.69,517.29,352.71,200.96,776.37,387.45,406.27,281.8,214.22,772.9,410.67,401.19,277.5,203.91,710.93,466.36,389.63,272.43,175.92,963.94,467.57,448.37,325.47,253.34,976.41,642.31,486.06,302.11,221.87,832.24,464.9,458.08,295.64,220.68,738.5,503.02,375.32,221.3,146.14,918.75,621.18,484.43,282.03,202.55,807.8,548.85,408.55,248.24,173.56,597.86,367.41,355.1,250.91,167.95,1220.1,819.94,569.85,341.67,281.08,883.76,556.84,533.41,358.7,204.73,619,391.38,529.83,346.15,195.49,508.19,401.59,371.09,277.72,146.5,1397.2,929.67,669.13,397.23,292.38,824.76,489.2,466.3,371.77,246.21,790.03,491.38,558.32,393.26,213.4,1049.1,683.3,621.69,411.87,238.4,1062.1,609.25,507.79,318.5,219.52,1007.4,639.16,563.43,372.74,262.76,1019.5,676.85,587.39,350.22,227.02,619.2,389.47,353.02,253.03,150.64,1056.7,655.16,485.19,292.64,208.74,488.78,304.85,336.53,233.03,151.21,896.38,435.54,471.12,337.95,243.66,1117.5,547.99,552.55,405.09,312.98,1282.4,744.32,539.53,318.8,233.86,1019.7,453.5,367.71,300.68,255.7,827.21,528.03,350.05,277.13,224.18,1218.2,789.29,468.31,221.23,173.58,1821.5,1005.2,741.24,507.73,379.96,1557.1,953.04,710.17,464.2,361.71,1474.5,914.67,722.96,488.43,370.29,4679.3,3595.8,2088.6,606.1,281.57
1,28,3190.9,2205.4,1449.4,1357.6,1467.4,3059.7,2094.7,1402.4,1320.5,1426.8,2330.6,1526.9,1040,941.87,1006.5,1370.6,917.78,557.85,484.97,504.18,2438.2,1564,1137.9,1174.6,1227.1,9059,6079,4066.4,3863.4,4144,4296.2,2589.8,1777.3,1737.1,1854.1,1580.3,1306.2,763.48,627.75,647.25,2327.9,1710.9,1075,916.23,968.13,2049.6,1303,832.88,765.96,790.4,853.09,808.09,425.82,236.05,188.7,4380.5,2902.6,1860.6,1696.5,1800.6,803.47,932.58,471.35,285.8,235.49,3383.4,2166.7,1412.8,1274.4,1337.4,1374.4,1134.5,672.02,549.25,562.03,7343.3,4912.9,3275.1,3090,3342.5,4275.6,2929.9,1938.1,1817.6,1930.7,4492.9,3078.5,2052.7,1882.5,2019.6,3994.2,2868.8,1882.9,1757.3,1870.9,2164.7,1440.5,911.67,797.63,811.97,2607.8,1969.9,1176.5,1002.3,1033.9,1736.3,1022.7,681.47,637.25,652.09,1164.6,782.25,539.43,334.41,282.9,1436.8,903.22,689.3,521.21,423.9,536.52,767.59,409.01,191.5,126.12,1686.9,1224.2,562.77,378.06,315.1,810.33,961.61,481.28,305.17,288.65,2142.4,1596.2,949.13,836.29,869.2,959.17,946.54,501.89,407.28,412.29,2425,2008.9,1165.3,1026.9,1079.8,3319.3,2306.4,1497.7,1418.3,1514.1,1647.8,1371.9,810.33,679.21,707.32,1411.9,933.47,619.28,590.54,633.96,2440.8,893.42,445.01,383.96,333.91,701.31,408.17,355.08,318.56,302.74,3484,1980.8,1185.9,785.55,586.4,1328,1328.3,830.75,654.4,589.5,1293.5,1388.6,1026.2,769.57,646.4,1539.4,1481,1209.3,940.7,826.67,4738.5,3527.2,2282,1167.4,663.06
1,28,4248.7,2672.6,1706.2,1484.9,1414,3895.3,2557.5,1635.6,1420.1,1358.5,3881.5,2081.5,1245.1,1082.6,1005.8,3513.9,1425.1,741.21,684.9,656.26,3571.5,2030.6,1317.2,1206.5,1202.6,13354,7851.4,4775.7,4246.5,4064.5,7772.1,3836.1,2225.7,2041.1,1903.5,2115.6,1562.9,849.32,683.39,642.27,3263.4,2120.4,1253.1,1011.6,957.06,4191.7,1908.7,1066.1,975.38,872.47,1983.7,935.3,512.43,388.46,315.16,7539.8,4001.2,2267.3,1965.9,1840.9,978.88,761.9,440.94,265.19,223.63,6362.4,3161.1,1746.9,1530.6,1393,1832.9,1201.4,725.63,564.85,541.05,10663,6363.7,3881.6,3426.1,3261.3,5585.6,3680,2401.3,2106.8,1977.6,5714.7,3798.4,2412.9,2082.9,2000,5347.2,3391.6,2139.1,1867.8,1811.5,4566.7,2004.8,1070,916.8,847.71,4362.2,2443.6,1505.4,1282.6,1241,3949.5,1627.6,860.45,744.03,706.45,2499.1,1144.8,627.06,455.49,357.56,3146.3,1379.9,824.43,673.66,523.51,605.77,676.68,373.18,199.6,154.16,4352.4,1756.2,805.47,682.18,581.9,929.89,828.98,482.88,328.26,293.54,3693.1,1968.1,1123,981.28,899.26,1211.4,840.11,551.18,430.43,406.83,3068.5,2156.4,1310.9,1094.9,1052.4,4539.1,2824.7,1752.5,1530.5,1467.6,2071.8,1449.4,890.18,707.69,689.23,2052,1228.9,755.25,646.98,622.9,7404.9,2615.9,1160.4,1014.1,857.88,1607.6,838.22,565.02,460.24,403.63,3913.9,2171.2,1317,862.76,660.81,1503,1218.5,885.79,701.11,692.52,1713.9,1303.7,1213,1004.3,910.99,2584.1,1667.2,1478.7,1205,1050.1,4289.3,3277,2144.4,1002.4,573.92
